Symbol,Company Name,"Market capitalization as on March 31, 2023
(Rs in Lakhs)"
LEEL,LEEL Electricals Limited,"*Not available for trading as on March 31, 2023"
MANPASAND,Manpasand Beverages Limited,"*Not available for trading as on March 31, 2023"
MBECL,Mcnally Bharat Engineering Company Limited,"*Not available for trading as on March 31, 2023"
MCDHOLDING,McDowell Holdings Limited,"*Not available for trading as on March 31, 2023"
MERCATOR,Mercator Limited,"*Not available for trading as on March 31, 2023"
METKORE,Metkore Alloys & Industries Limited,"*Not available for trading as on March 31, 2023"
MODTHREAD,Modern Thread Limited,"*Not available for trading as on March 31, 2023"
MOHOTAIND,Mohota Industries Limited,"*Not available for trading as on March 31, 2023"
MVL,MVL Limited,"*Not available for trading as on March 31, 2023"
NAKODA,Nakoda Limited,"*Not available for trading as on March 31, 2023"
NITINFIRE,Nitin Fire Protection Industries Limited,"*Not available for trading as on March 31, 2023"
NTL,Neueon Towers Limited,"*Not available for trading as on March 31, 2023"
NUTEK,Nu Tek India Limited,"*Not available for trading as on March 31, 2023"
OISL,OCL Iron and Steel Limited,"*Not available for trading as on March 31, 2023"
OMKARCHEM,Omkar Speciality Chemicals Limited,"*Not available for trading as on March 31, 2023"
OPAL,Opal Luxury Time Products Limited,"*Not available for trading as on March 31, 2023"
OPTOCIRCUI,Opto Circuits (India) Limited,"*Not available for trading as on March 31, 2023"
ORTEL,Ortel Communications Limited,"*Not available for trading as on March 31, 2023"
PDPL,Parenteral Drugs (India) Limited,"*Not available for trading as on March 31, 2023"
PINCON,Pincon Spirit Limited,"*Not available for trading as on March 31, 2023"
PRATIBHA,Pratibha Industries Limited,"*Not available for trading as on March 31, 2023"
PRUDMOULI,Prudential Sugar Corporation Limited,"*Not available for trading as on March 31, 2023"
PSL,PSL Limited,"*Not available for trading as on March 31, 2023"
PUNJLLOYD,Punj Lloyd Limited,"*Not available for trading as on March 31, 2023"
QUINTEGRA,Quintegra Solutions Limited,"*Not available for trading as on March 31, 2023"
RADAAN,Radaan Mediaworks India Limited,"*Not available for trading as on March 31, 2023"
RAINBOWPAP,Rainbow Papers Limited,"*Not available for trading as on March 31, 2023"
RAJVIR,Rajvir Industries Limited,"*Not available for trading as on March 31, 2023"
RMMIL,Resurgere Mines & Minerals Limited,"*Not available for trading as on March 31, 2023"
RUSHABEAR,Rushabh Precision Bearings Limited,"*Not available for trading as on March 31, 2023"
S&SPOWER,S&S Power Switchgears Limited,"*Not available for trading as on March 31, 2023"
SATHAISPAT,Sathavahana Ispat Limited,"*Not available for trading as on March 31, 2023"
SBIHOMEFIN,SBI Home Finance Limited,"*Not available for trading as on March 31, 2023"
SHARONBIO,Sharon Bio-Medicine Limited,"*Not available for trading as on March 31, 2023"
SHIRPUR-G,Shirpur Gold Refinery Limited,"*Not available for trading as on March 31, 2023"
SICAL,Sical Logistics Limited,"*Not available for trading as on March 31, 2023"
SIIL,Supreme (India) Impex Limited,"*Not available for trading as on March 31, 2023"
SKIL,Skil Infrastructure Limited,"*Not available for trading as on March 31, 2023"
SONISOYA,Soni Soya Products Limited,"*Not available for trading as on March 31, 2023"
SPYL,Shekhawati Poly-Yarn Limited,"*Not available for trading as on March 31, 2023"
SREINFRA,SREI Infrastructure Finance Limited,"*Not available for trading as on March 31, 2023"
STAMPEDE,Stampede Capital Limited,"*Not available for trading as on March 31, 2023"
TALWALKARS,Talwalkars Better Value Fitness Limited,"*Not available for trading as on March 31, 2023"
TALWGYM,Talwalkars Healthclubs Limited,"*Not available for trading as on March 31, 2023"
TCIFINANCE,TCI Finance Limited,"*Not available for trading as on March 31, 2023"
TECHNOFAB,Technofab Engineering Limited,"*Not available for trading as on March 31, 2023"
THIRUSUGAR,Thiru Arooran Sugars Limited,"*Not available for trading as on March 31, 2023"
TULSI,Tulsi Extrusions Limited,"*Not available for trading as on March 31, 2023"
UNIPLY,Uniply Industries Limited,"*Not available for trading as on March 31, 2023"
UNITY,Unity Infraprojects Limited,"*Not available for trading as on March 31, 2023"
UNIVAFOODS,Univa Foods Limited,"*Not available for trading as on March 31, 2023"
USK,Udayshivakumar Infra Limited,"*Not available for trading as on March 31, 2023"
VALECHAENG,Valecha Engineering Limited,"*Not available for trading as on March 31, 2023"
VALUEIND,Value Industries Limited,"*Not available for trading as on March 31, 2023"
VICEROY,Viceroy Hotels Limited,"*Not available for trading as on March 31, 2023"
VIDEOIND,Videocon Industries Limited,"*Not available for trading as on March 31, 2023"
VIKASPROP,Vikas Proppant & Granite Limited,"*Not available for trading as on March 31, 2023"
VISUINTL,Visu International Limited,"*Not available for trading as on March 31, 2023"
VIVIMEDLAB,Vivimed Labs Limited,"*Not available for trading as on March 31, 2023"
WINSOME,Winsome Yarns Limited,"*Not available for trading as on March 31, 2023"
ZICOM,Zicom Electronic Security Systems Limited,"*Not available for trading as on March 31, 2023"
,,
,,
